"","X01桐壺","X02帚木","X03空蝉","X04夕顔","X05若紫","X06末摘花","X07紅葉賀","X08花宴","X09葵","X10賢木","X11花散里","X12須磨","X13明石","X14澪標","X15蓬生","X16関屋","X17絵合","X18松風","X19薄雲","X20朝顔","X21少女","X22玉鬘","X23初音","X24胡蝶","X25蛍","X26常夏","X27篝火","X28野分","X29行幸","X30藤袴","X31真木柱","X32梅枝","X33藤裏葉","X34若菜上","X35若菜下","X36柏木","X37横笛","X38鈴虫","X39夕霧","X40御法","X41幻","X42匂宮","X43紅梅","X44竹河","X45橋姫","X46椎本","X47総角","X48早蕨","X49宿木","X50東屋","X51浮舟","X52蜻蛉","X53手習","X54夢浮橋","X01俊蔭","X02藤原の君","X03忠こそ","X04春日詣","X05嵯峨の院","X06祭の使","X07吹上上","X08吹上下","X09菊の宴","X10あて宮","X11内侍のかみ","X12沖つ白波","X13蔵開上","X14蔵開中","X15蔵開下","X16国譲上","X17国譲中","X18国譲下","X19楼の上上","X20楼の上下"
"アキ",20.8159866777685,10.6575722050517,0,10.4536901526239,10.6315118009781,32.5785958625183,0,0,43.634776917203,41.3907284768212,0,11.9175306876415,25.4291163382072,15.8831003811944,21.7155266015201,107.066381156317,0,49.6277915632754,33.206043499917,25.0438266967193,9.9601593625498,24.4319569997557,0,24.7463499133878,0,0,306.278713629403,56.980056980057,0,0,0,0,67.7200902934537,9.90148027130056,9.88972951589774,25.2334090335604,27.0709258256632,72.7802037845706,14.2643178090008,80.6451612903226,23.3317778814746,74.1839762611276,0,0,13.700506918756,68.5871056241427,34.4095888054138,0,5.30813737459525,15.3857989076083,0,8.47601288353958,21.0955628999367,0,57.372346528973,36.5664137489716,14.7362216327734,83.4724540901503,27.4977085242896,21.9154065307911,22.55299954894,217.202432667246,32.2476620445018,18.6254423542559,74.7104968248039,20.3086921202275,5.40482110042158,0,0,11.3901702830457,11.9317503877819,8.51933889930141,13.5620804231369,11.2599932440041
"アソビ",104.079933388843,10.6575722050517,0,10.4536901526239,10.6315118009781,16.2892979312592,53.9665407447383,49.7760079641613,10.9086942293008,72.4337748344371,0,23.835061375283,25.4291163382072,15.8831003811944,0,0,27.3522975929978,49.6277915632754,16.6030217499585,0,19.9203187250996,0,37.1885459278542,74.2390497401633,26.5463233342182,68.9496667432774,0,28.4900284900285,19.1021967526266,0,13.8236107271219,54.9752611324904,112.866817155756,19.8029605426011,59.3383770953864,25.2334090335604,0,218.340611353712,7.13215890450039,0,69.9953336444237,37.0919881305638,79.4596742153357,37.197768133912,13.700506918756,68.5871056241427,0,0,15.9244121237858,0,6.93721817551162,8.47601288353958,0,0,5.7372346528973,45.7080171862145,29.4724432655467,0,54.9954170485793,10.9577032653956,33.82949932341,130.321459600348,32.2476620445018,37.2508847085118,32.0187843534874,40.6173842404549,16.2144633012647,9.021199819576,23.3408542752665,22.7803405660915,35.7952511633457,29.817686147555,27.1241608462738,39.4099763540142
"アタリ",20.8159866777685,31.9727166151551,0,62.7221409157433,21.2630236019562,81.4464896562958,0,49.7760079641613,21.8173884586015,20.6953642384106,276.243093922652,11.9175306876415,12.7145581691036,47.6493011435832,65.1465798045603,0,0,49.6277915632754,0,25.0438266967193,29.8804780876494,24.4319569997557,37.1885459278542,49.4926998267755,26.5463233342182,22.9832222477591,153.139356814701,56.980056980057,19.1021967526266,35.778175313059,55.2944429084877,54.9752611324904,22.5733634311512,39.6059210852022,49.4486475794887,37.8501135503407,81.2127774769897,0,28.5286356180016,0,46.6635557629491,185.459940652819,0,37.197768133912,54.802027675024,82.3045267489712,57.3493146756896,56.2271577171774,31.8488242475715,146.165089622279,41.6233090530697,67.8081030683167,63.2866886998101,28.1214848143982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"アテミヤ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493.646585611116,0,250.417362270451,64.1613198900092,241.069471838703,33.82949932341,65.1607298001738,266.04321186714,577.388712981933,21.3458562356583,60.9260763606824,0,0,0,0,0,0,13.5620804231369,22.5199864880081
"アハレ",0,63.9454332303101,45.7247370827618,20.9073803052478,0,0,0,49.7760079641613,43.634776917203,31.0430463576159,276.243093922652,71.5051841258491,25.4291163382072,15.8831003811944,21.7155266015201,107.066381156317,0,24.8138957816377,49.8090652498755,50.0876533934385,39.8406374501992,0,0,49.4926998267755,53.0926466684364,0,0,0,0,143.112701252236,13.8236107271219,0,45.1467268623025,24.7537006782514,14.8345942738466,63.0835225839011,135.354629128316,72.7802037845706,35.660794522502,26.8817204301075,0,0,0,24.7985120892746,27.401013837512,27.4348422496571,22.9397258702759,84.3407365757661,5.30813737459525,7.69289945380414,27.7488727020465,8.47601288353958,28.1274171999156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"アマギミ",0,0,0,62.7221409157433,85.0520944078248,0,17.9888469149128,0,0,10.3476821192053,0,0,0,0,0,0,0,124.069478908189,33.206043499917,0,0,0,37.1885459278542,0,0,0,0,28.4900284900285,0,0,0,0,22.5733634311512,64.3596217634536,24.7243237897443,0,0,36.3901018922853,0,0,0,0,0,0,0,0,0,0,63.6976484951431,76.9289945380414,20.8116545265349,16.9520257670792,253.146754799241,140.607424071991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"アヤ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6861732644865,63.9912240607002,0,83.4724540901503,36.6636113657195,43.8308130615823,157.87099684258,0,16.1238310222509,93.1272117712796,32.0187843534874,20.3086921202275,70.2626743054805,54.127198917456,23.3408542752665,5.69508514152287,29.8293759694547,42.5966944965071,61.0293619041161,28.1499831100101
"アリサマ",145.71190674438,170.521155280827,91.4494741655236,114.990591678863,191.367212417606,211.760873106369,125.921928404389,99.5520159283225,163.630413439511,196.605960264901,414.364640883978,178.762960314623,228.862047043865,142.94790343075,477.741585233442,0,136.761487964989,148.883374689826,265.648347999336,200.350613573754,79.6812749003984,122.159784998778,260.31982149498,222.71714922049,238.916910007964,68.9496667432774,153.139356814701,85.4700854700855,191.021967526266,143.112701252236,165.883328725463,54.9752611324904,248.306997742664,232.684786375563,187.904860802057,151.400454201363,216.567406605306,473.071324599709,185.43613151701,215.05376344086,233.317778814746,408.011869436202,198.649185538339,223.186608803472,164.406083025072,164.609053497942,217.927395767621,140.567894292943,169.860395987048,200.015385798908,194.242108914325,110.188167486015,168.764503199494,196.850393700787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"イチノミヤ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9577032653956,0,0,0,0,0,162.46953696182,37.833747702951,0,15.5605695168443,79.7311919813201,77.5563775205823,42.5966944965071,40.6862412694107,45.0399729760162
"イヌミヤ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4289266025295,27.063599458728,62.2422780673773,5.69508514152287,53.6928767450185,12.7790083489521,189.869125923917,298.389820966107
